Date,Open,Close,Volume,Price_change,date
2010-04-22,1202.52001953125,1208.6700439453125,6035780000,1,2010-04-22
2010-04-23,1207.8699951171875,1217.280029296875,5326060000,1,2010-04-23
2010-04-26,1217.0699462890625,1212.050048828125,5647760000,-1,2010-04-26
2010-04-27,1209.9200439453125,1183.7099609375,7454540000,-1,2010-04-27
2010-04-28,1184.5899658203125,1191.3599853515625,6342310000,1,2010-04-28
2010-04-29,1193.300048828125,1206.780029296875,6059410000,1,2010-04-29
2010-04-30,1206.77001953125,1186.68994140625,6048260000,-1,2010-04-30
2010-05-03,1188.5799560546875,1202.260009765625,4938050000,1,2010-05-03
2010-05-04,1197.5,1173.5999755859375,6594720000,-1,2010-05-04
2010-05-05,1169.239990234375,1165.8699951171875,6795940000,-1,2010-05-05
2010-05-06,1164.3800048828125,1128.1500244140625,10617810000,-1,2010-05-06
2010-05-07,1127.0400390625,1110.8800048828125,9472910000,-1,2010-05-07
2010-05-10,1122.27001953125,1159.72998046875,6893700000,1,2010-05-10
2010-05-11,1156.3900146484375,1155.7900390625,5842550000,-1,2010-05-11
2010-05-12,1155.4300537109375,1171.6700439453125,5225460000,1,2010-05-12
2010-05-13,1170.0400390625,1157.43994140625,4870640000,-1,2010-05-13
2010-05-14,1157.18994140625,1135.6800537109375,6126400000,-1,2010-05-14
2010-05-17,1136.52001953125,1136.93994140625,5922920000,1,2010-05-17
2010-05-18,1138.780029296875,1120.800048828125,6170840000,-1,2010-05-18
2010-05-19,1119.5699462890625,1115.050048828125,6765800000,-1,2010-05-19
2010-05-20,1107.3399658203125,1071.5899658203125,8328570000,-1,2010-05-20
2010-05-21,1067.260009765625,1087.68994140625,5452130000,1,2010-05-21
2010-05-24,1084.780029296875,1073.6500244140625,5224040000,-1,2010-05-24
2010-05-25,1067.4200439453125,1074.030029296875,7329580000,1,2010-05-25
2010-05-26,1075.510009765625,1067.949951171875,4521050000,-1,2010-05-26
2010-05-27,1074.27001953125,1103.06005859375,5698460000,1,2010-05-27
2010-05-28,1102.5899658203125,1089.4100341796875,4871210000,-1,2010-05-28
2010-06-01,1087.300048828125,1070.7099609375,5271480000,-1,2010-06-01
2010-06-02,1073.010009765625,1098.3800048828125,5026360000,1,2010-06-02
2010-06-03,1098.8199462890625,1102.8299560546875,4995970000,1,2010-06-03
2010-06-04,1098.4300537109375,1064.8800048828125,6180580000,-1,2010-06-04
2010-06-07,1065.8399658203125,1050.469970703125,5467560000,-1,2010-06-07
2010-06-08,1050.81005859375,1062.0,6192750000,1,2010-06-08
2010-06-09,1062.75,1055.68994140625,5983200000,-1,2010-06-09
2010-06-10,1058.77001953125,1086.8399658203125,5144780000,1,2010-06-10
2010-06-11,1082.6500244140625,1091.5999755859375,4059280000,1,2010-06-11
2010-06-14,1095.0,1089.6300048828125,4425830000,-1,2010-06-14
2010-06-15,1091.2099609375,1115.22998046875,4644490000,1,2010-06-15
2010-06-16,1114.02001953125,1114.6099853515625,5002600000,-1,2010-06-16
2010-06-17,1115.97998046875,1116.0400390625,4557760000,1,2010-06-17
2010-06-18,1116.1600341796875,1117.510009765625,4555360000,1,2010-06-18
2010-06-21,1122.7900390625,1113.199951171875,4514360000,-1,2010-06-21
2010-06-22,1113.9000244140625,1095.31005859375,4514380000,-1,2010-06-22
2010-06-23,1095.5699462890625,1092.0400390625,4526150000,-1,2010-06-23
2010-06-24,1090.9300537109375,1073.68994140625,4814830000,-1,2010-06-24
2010-06-25,1075.0999755859375,1076.760009765625,5128840000,1,2010-06-25
2010-06-28,1077.5,1074.5699462890625,3896410000,-1,2010-06-28
2010-06-29,1071.0999755859375,1041.239990234375,6136700000,-1,2010-06-29
2010-06-30,1040.56005859375,1030.7099609375,5067080000,-1,2010-06-30
2010-07-01,1031.0999755859375,1027.3699951171875,6435770000,-1,2010-07-01
2010-07-02,1027.6500244140625,1022.5800170898438,3968500000,-1,2010-07-02
2010-07-06,1028.0899658203125,1028.06005859375,4691240000,1,2010-07-06
2010-07-07,1028.5400390625,1060.27001953125,4931220000,1,2010-07-07
2010-07-08,1062.9200439453125,1070.25,4548460000,1,2010-07-08
2010-07-09,1070.5,1077.9599609375,3506570000,1,2010-07-09
2010-07-12,1077.22998046875,1078.75,3426990000,1,2010-07-12
2010-07-13,1080.6500244140625,1095.3399658203125,4640460000,1,2010-07-13
2010-07-14,1095.6099853515625,1095.1700439453125,4521050000,-1,2010-07-14
2010-07-15,1094.4599609375,1096.47998046875,4552470000,1,2010-07-15
2010-07-16,1093.8499755859375,1064.8800048828125,5297350000,-1,2010-07-16
2010-07-19,1066.8499755859375,1071.25,4089500000,1,2010-07-19
2010-07-20,1064.530029296875,1083.47998046875,4713280000,1,2010-07-20
2010-07-21,1086.6700439453125,1069.5899658203125,4747180000,-1,2010-07-21
2010-07-22,1072.1400146484375,1093.6700439453125,4826900000,1,2010-07-22
2010-07-23,1092.1700439453125,1102.6600341796875,4524570000,1,2010-07-23
2010-07-26,1102.8900146484375,1115.010009765625,4009650000,1,2010-07-26
2010-07-27,1117.3599853515625,1113.8399658203125,4725690000,-1,2010-07-27
2010-07-28,1112.8399658203125,1106.1300048828125,4002390000,-1,2010-07-28
2010-07-29,1108.0699462890625,1101.530029296875,4612420000,-1,2010-07-29
2010-07-30,1098.43994140625,1101.5999755859375,4006450000,1,2010-07-30
2010-08-02,1107.530029296875,1125.8599853515625,4144180000,1,2010-08-02
2010-08-03,1125.3399658203125,1120.4599609375,4071820000,-1,2010-08-03
2010-08-04,1121.06005859375,1127.239990234375,4057850000,1,2010-08-04
2010-08-05,1125.780029296875,1125.81005859375,3685560000,-1,2010-08-05
2010-08-06,1122.0699462890625,1121.6400146484375,3857890000,-1,2010-08-06
2010-08-09,1122.800048828125,1127.7900390625,3979360000,1,2010-08-09
2010-08-10,1122.9200439453125,1121.06005859375,3979360000,-1,2010-08-10
2010-08-11,1116.8900146484375,1089.469970703125,4511860000,-1,2010-08-11
2010-08-12,1081.47998046875,1083.6099853515625,4521050000,-1,2010-08-12
